"","count","area_m","coral_cover","depth","per_m"
"1",345,1.28795171,28.52606,"shallow",267.867185796896
"2",175,0.49931733,11.05908,"shallow",350.4785223457
"3",610,1.41265425,31.28802,"shallow",431.811251762418
"4",813,1.30558357,28.91658,"shallow",622.710042222728
"5",96,0.1602022,3.54822,"shallow",599.242707028992
"6",781,0.54992768,12.18002,"shallow",1420.18674164574
"7",146,0.75496985,16.72137,"shallow",193.385206044983
"8",14,0.08671464,1.92059,"shallow",161.449093255764
"9",963,1.057672,23.42574,"shallow",910.490208684734
"10",320,2.89976262,64.22509,"shallow",110.353860620495
"11",806,1.68222915,37.25867,"shallow",479.126164232738
"12",886,2.16931386,48.04682,"shallow",408.424071932127
"13",828,2.62353237,58.10703,"shallow",315.605025296486
"14",122,1.62926253,36.08555,"shallow",74.8805043715085
"15",217,2.07678442,45.99744,"shallow",104.488457208284
"16",420,3.04369252,67.4129,"shallow",137.990285562748
"17",874,1.86069973,41.21151,"shallow",469.715766551973
"18",858,2.40756893,53.32379,"shallow",356.376089302664
"19",624,0.65650317,14.54049,"shallow",950.490459931823
"20",500,1.83488857,40.63984,"shallow",272.496111303369
"21",1361,2.5776426,57.09064,"shallow",528.001826164729
"22",515,1.90786276,42.2561,"shallow",269.935558677187
"23",863,1.79603622,39.77932,"shallow",480.502559129904
"24",127,1.0736353,23.7793,"shallow",118.28970228531
"25",298,1.61076589,35.67588,"shallow",185.005159253776
"26",564,1.28621519,28.4876,"shallow",438.495832101003
"27",443,1.6045552,35.53832,"shallow",276.08897468906
"28",222,0.9760821,21.61865,"shallow",227.439884411363
"29",137,1.58684637,35.1461,"shallow",86.3347596780903
"30",121,0.65242999,14.45028,"shallow",185.46051201601
"31",175,2.06355498,45.70443,"shallow",84.805106573899
"32",1070,2.37236182,52.544,"shallow",451.027322636646
"33",969,2.41937959,53.58537,"shallow",400.515902508709
"34",204,1.24633939,27.60442,"shallow",163.679332962428
"35",68,0.7479084,16.56497,"shallow",90.9202249901191
"36",38,0.276593,6.12609,"shallow",137.38597867625
"37",285,1.41014648,31.23248,"shallow",202.106663415562
"38",352,2.20764559,48.8958,"shallow",159.445882796794
"39",226,1.14271667,25.30934,"shallow",197.774309181995
"40",828,1.82470849,40.41436,"shallow",453.77111168042
"41",128,1.26510936,28.02014,"shallow",101.177023937282
"42",221,1.64690355,36.47627,"shallow",134.191222066405
"43",157,1.27713572,28.28651,"shallow",122.931335754981
"44",261,0.60701275,13.44436,"shallow",429.974493945967
"45",487,1.13210216,25.07424,"shallow",430.17319214372
"46",1980,1.71665788,38.02122,"shallow",1153.40396188902
"47",476,2.2174722,49.11345,"shallow",214.658835407271
"48",432,0.32177648,7.12683,"shallow",1342.54685115581
"49",640,1.10710921,24.52069,"shallow",578.082084603018
"50",399,0.6897811,15.27754,"shallow",578.444378948626
"51",407,1.61077181,35.67601,"shallow",252.673902953392
"52",30,0.08462355,1.87428,"shallow",354.511244210388
"53",93,0.27285519,6.0433,"shallow",340.840135751129
"54",354,0.90671612,20.08231,"shallow",390.419881362647
"55",151,0.61863362,13.70174,"shallow",244.086313963991
"56",1435,1.7786037,39.39322,"shallow",806.812669961274
"57",283,0.434089,9.61437,"shallow",651.940039945725
"58",27,0.46674253,10.3376,"shallow",57.8477388807915
"59",688,2.26431981,50.15105,"shallow",303.844005145192
"60",699,1.69856146,37.62041,"shallow",411.524702791738
"61",981,1.76751743,39.14767,"shallow",555.015743182798
"62",221,1.8615649,41.23067,"shallow",118.717322184147
"63",162,1.7230685,38.1632,"shallow",94.0183167413252
"64",1192,2.08240645,46.12196,"shallow",572.414669576153
"65",323,0.72700364,16.10196,"shallow",444.289384850948
"66",203,1.63991665,36.32152,"shallow",123.786779041484
"67",650,2.02742554,44.90422,"shallow",320.603636077308
"68",867,1.93994763,42.96672,"deep",446.919281011725
"69",268,2.01714317,44.67648,"deep",132.861169195045
"70",186,1.29890036,28.76856,"deep",143.198051003697
"71",56,1.6940464,37.52041,"deep",33.0569457837755
"72",302,1.8066942,40.01538,"deep",167.156124152056
"73",11,0.2124307,4.705,"deep",51.7815927735492
"74",135,1.35028732,29.9067,"deep",99.9787215657183
"75",103,1.35722815,30.06042,"deep",75.8899673573673
"76",169,0.3365845,7.45481,"deep",502.102740916471
"77",230,0.64832337,14.35932,"deep",354.761235893749
"78",7,0.38851047,8.60488,"deep",18.0175324489968
"79",45,0.75333035,16.68506,"deep",59.7347498345181
"80",107,1.05241584,23.30932,"deep",101.670837641516
"81",126,0.65530646,14.51399,"deep",192.276450319138
"82",424,1.51678636,33.59438,"deep",279.53837876021
"83",243,1.7587079,38.95256,"deep",138.16961872975
"84",567,1.95756327,43.35688,"deep",289.645810528515
"85",20,0.1200911,2.65983,"deep",166.540234871693
"86",29,0.44443647,9.84355,"deep",65.2511707691315
"87",1088,1.6759724,37.1201,"deep",649.175368281721
"88",794,2.2919977,50.76407,"deep",346.422686200776
